product_category_name,review_score,review_comment_title,review_comment_message,review_comment_message_en,review_comment_message_en_cleaned,sentiment,compound_score,average_review_score,compound_score_avg_compound,average_sentiment
pet_shop,5.0,,O produto foi exatamente o que eu esperava e estava descrito no site e chegou bem antes da data prevista.,"The product was exactly what I expected and what was described on the website, and it arrived well ahead of schedule.","['the', 'product', 'was', 'exactly', 'what', 'i', 'expected', 'and', 'what', 'was', 'described', 'on', 'the', 'website', 'and', 'it', 'arrived', 'well', 'ahead', 'of', 'schedule']",positive,0.2732,4.294117647058823,0.20379999999999998,positive
pet_shop,2.0,,"Foi aberto chamado no site ontem dia 22/11, pois o produto recebido é diferente da foto do anuncio. ",A call was made to the website yesterday (22/11) because the product received was different from the picture in the ad.,"['a', 'call', 'was', 'made', 'to', 'the', 'website', 'yesterday', 'because', 'the', 'product', 'received', 'was', 'different', 'from', 'the', 'picture', 'in', 'the', 'ad']",neutral,0.0,4.294117647058823,0.20379999999999998,positive
pet_shop,5.0,,"Estou super satisfeita com a minha compra!
","I'm super happy with my purchase!
","['im', 'super', 'happy', 'with', 'my', 'purchase']",positive,0.8356,4.294117647058823,0.20379999999999998,positive
pet_shop,5.0,,Entrega feita antes do prazo,Delivery ahead of schedule,"['delivery', 'ahead', 'of', 'schedule']",neutral,0.0,4.294117647058823,0.20379999999999998,positive
pet_shop,5.0,,Gostei do produto e da eficiência na entrega.,I liked the product and the efficient delivery.,"['i', 'liked', 'the', 'product', 'and', 'the', 'efficient', 'delivery']",positive,0.6808,4.294117647058823,0.20379999999999998,positive
pet_shop,5.0,,Gostei do produto e da eficiência na entrega.,I liked the product and the efficient delivery.,"['i', 'liked', 'the', 'product', 'and', 'the', 'efficient', 'delivery']",positive,0.6808,4.294117647058823,0.20379999999999998,positive
pet_shop,2.0,,O produto para carro pequeno,The product for small cars,"['the', 'product', 'for', 'small', 'cars']",neutral,0.0,4.294117647058823,0.20379999999999998,positive
pet_shop,5.0,,muito bom,very good,"['very', 'good']",positive,0.4927,4.294117647058823,0.20379999999999998,positive
pet_shop,4.0,,"Pontualidade, e recomendo e recomendo está loja","Punctuality, and I recommend and recommend this store","['punctuality', 'and', 'i', 'recommend', 'and', 'recommend', 'this', 'store']",positive,0.6124,4.294117647058823,0.20379999999999998,positive
pet_shop,3.0,,Demora entrega,Delayed delivery,"['delayed', 'delivery']",negative,-0.2263,4.294117647058823,0.20379999999999998,positive
